"hero","troop_type","s1_skill","s1_trigger_type","s1_trigger_frequency","s1_trigger_source","s2_skill","s2_trigger_type","s2_trigger_frequency","s2_trigger_source","s3_skill","s3_trigger_type","s3_trigger_frequency","s3_trigger_source"
"Mia","lancer","BadLuckStreak","attack","every attack; 50% chance","self.any (default)","LuckyCharm","attack","every attack; 50% chance","self.any (default)","RitualDeciphering","turn","every turn; 40% chance",""
"Molly","lancer","CallingOfTheStorm","turn","every turn; 40% chance","","IceDominion","attack","every attack; 50% chance","self.any (default)","YouthfulRage","battle_start","once at battle start",""
"Natalia","infantry","WildlingRoar","turn","every turn; 40% chance","","QueenOfTheWild","battle_start","once at battle start","","CallOfTheWild","battle_start","once at battle start",""
"Norah","lancer","CombinedArms","battle_start","once at battle start","","SneakStrike","attack","every attack; 20% chance","lancer","Momentum","attack","every 5 attacks","lancer"
"Patrick","lancer","SuperNutrients","battle_start","once at battle start","","CaloricBooster","battle_start","once at battle start","","","","",""
"Philly","lancer","VigorTactics","battle_start","once at battle start","","DosageBoost","attack","every attack; 25% chance","self.any (default)","NumbingSpores","turn","every turn; 40% chance",""
"Reina","lancer","AssassinsInstinct","battle_start","once at battle start","","SwiftJive","attack","every attack; 4/8/12/16/20% chance by level","enemy.any","ShadowBlade","attack","every attack; 25% chance","lancer"
"Renee","lancer","NightmareTrace","attack","every 2 attacks","lancer","Dreamcatcher","attack","every 2 attacks","lancer","Dreamslice","attack","every 2 attacks","lancer"
"Seo-yoon","marksman","RallyingBeat","battle_start","once at battle start","","NonCombatPlaceholder","battle_start","once at battle start","","","","",""
"Sergey","infantry","DefendersEdge","battle_start","once at battle start","","Weaken","battle_start","once at battle start","","","","",""
"Sonya","lancer","TreasureHunter","battle_start","once at battle start","","BountyTemptation","attack","every 2 attacks","lancer","TorrentialImpact","turn","every 5 turns",""
"Wayne","marksman","ThunderStrike","turn","every 4 turns","","RoundaboutHit","attack","every 2 attacks","marksman","Fleet","attack","every attack; 5/10/15/20/25% chance by level","self.any (default)"
"Wu Ming","infantry","ShadowsEvasion","battle_start","once at battle start","","CrescentUplift","battle_start","once at battle start","","ElementalResonance","battle_start","once at battle start",""
"Xura","marksman","FungalFog","battle_start","once at battle start","","PiercingArrow","attack","every 2 attacks","marksman","Unorthodoxy","battle_start","once at battle start",""
"Zinman","marksman","Implacable","battle_start","once at battle start","","Bastionist","battle_start","once at battle start","","PositionalBattler","battle_start","once at battle start",""
