fixture_key,record_count,game_margins,current_deterministic,current_mean,current_per_battle_sd,raw_p,sample_count,interpretation
testcases/emulator_verified/alonso_vs_alonso_inf_lancer.json#0,8,"[-752, -744, -737, -741, -753, -764, -745, -756]",False,-750.58,13.45,0.894505,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/alonso_wip_attacker.json#0,8,"[1770, 1766, 1770, 1766, 1778, 1770, 1766, 1765]",False,1769.36,3.56,0.810959,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/bahiti_norah_combo_nc.json#0,1,[269],False,196.25,139.23,0.681716,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/bahiti_solo.json#0,2,"[2179, 2233]",False,2229.4,50.6,0.840858,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/bahiti_solo_nc.json#0,1,[3675],False,3677.31,5.54,0.729014,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/flint_reina_zinman_combo.json#0,1,[-439],False,-444.72,6.33,0.410729,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/flint_solo_nc.json#0,1,[2862],True,2861,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/flint_zinman_combo_nc.json#0,1,[1005],True,1005,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/logan_bahiti_combo_nc.json#0,1,[-517],False,-509.22,13.03,0.669417,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/logan_reina_bahiti_combo_nc.json#0,1,[-482],False,-495.28,16.17,0.359482,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/philly_bahiti_combo.json#0,1,[-556],False,-558.4,1.89,0.453327,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/philly_bahiti_combo.json#1,4,"[-463, -456, -455, -459]",False,-454.3,4.38,0.19624,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/reina_bahiti_combo_nc.json#0,1,[-502],False,-483.28,16.85,0.297735,1000,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/wos451_bradley_s21_lancer_damage_up_bucket.json#0,1,[2736],True,2736,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/wos451_bradley_s22_infantry_damage_up_bucket.json#0,1,[2746],True,2746,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/wos451_bradley_s3_all_damage_up_bucket.json#0,1,[6151],True,6151,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/wos451_gordon_s11_lancer_damage_up_bucket.json#0,1,[-1517],True,-1516,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/emulator_verified/wos451_gordon_s21_lancer_damage_up_bucket.json#0,1,[-1017],True,-1016,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/heroes_unittests/Flint_tc.json#0,5,"[-150, -151, -149, -149, -150]",True,-150,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
testcases/heroes_unittests/Flint_tc.json#1,6,"[5720, 5756, 5736, 5715, 5733, 5736]",True,5762,0,,1,Fixed inputs; no stat fitting; no independent-capture count inferred.
