"kind","owner","slot","id","noncombat_or_empty","mode_gated","chance_trigger_defined","hydrated_fixtures","observation_records","levels","missing_levels","fixture_status","review_status","source"
"hero","Fred","3","Floodbringer","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Fred.json"
"hero","Fred","4","CallOfTheFirefighter","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Fred.json"
"hero","Freya","1","FogOfWar","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Freya.json"
"hero","Freya","2","BloodMoonScythe","false","false","true","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Freya.json"
"hero","Freya","3","NightsVengeance","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Freya.json"
"hero","Freya","4","DefenderOfTheWatch","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Freya.json"
"hero","Gatot","1","GoldenGuard","false","false","false","63","63","1;2;5","3;4","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Gatot.json"
"hero","Gatot","2","KingsBestowal","false","false","false","63","63","1;2;3;5","4","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Gatot.json"
"hero","Gatot","3","RoyalLegion","false","false","false","63","63","1;2;3;5","4","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Gatot.json"
"hero","Gatot","4","IndestructibleCity","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Gatot.json"
"hero","Gordon","1","VenomInfusion","false","false","false","7","11","2;3","1;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Gordon.json"
"hero","Gordon","2","ChemicalTerror","false","false","false","7","11","2;3","1;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Gordon.json"
"hero","Gordon","3","ToxicRelease","false","false","false","7","11","1;3","2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Gordon.json"
"hero","Gordon","4","BioAssault","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Gordon.json"
"hero","Greg","1","SwordOfJustice","false","false","true","8","58","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Greg.json"
"hero","Greg","2","DeterrenceOfLaw","false","false","true","8","58","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Greg.json"
"hero","Greg","3","LawAndOrder","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Greg.json"
"hero","Greg","4","VitalSurge","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Greg.json"
"hero","Gregory","1","LegionOfTheSun","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Gregory.json"
"hero","Gregory","2","ChargedAssault","false","false","true","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Gregory.json"
"hero","Gregory","3","Unbroken","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Gregory.json"
"hero","Gregory","4","DayOfTheGuard","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Gregory.json"
"hero","Gwen","1","EagleVision","false","false","false","7","11","1;2;3","4;5","fixture_present_requires_mechanic_review","unresolved","simulator/config/hero_definitions/Gwen.json"
"hero","Gwen","2","AirDominance","false","false","false","7","11","1","2;3;4;5","fixture_present_requires_mechanic_review","unresolved","simulator/config/hero_definitions/Gwen.json"
"hero","Gwen","3","Blastmaster","false","false","false","3","3","1","2;3;4;5","fixture_present_requires_mechanic_review","unresolved","simulator/config/hero_definitions/Gwen.json"
"hero","Gwen","4","LethalPrecision","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Gwen.json"
"hero","Hector","1","SurvivalInstincts","false","false","true","6","14","2;3;4","1;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Hector.json"
"hero","Hector","2","Rampant","false","false","false","6","14","3;4","1;2;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Hector.json"
"hero","Hector","3","Blitz","false","false","true","6","14","2;3;4","1;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Hector.json"
"hero","Hector","4","BulwarkCommander","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Hector.json"
"hero","Hendrik","1","WormsRavage","false","false","false","4","4","1;3","2;4;5","fixture_present_requires_mechanic_review","needs_review","simulator/config/hero_definitions/Hendrik.json"
"hero","Hendrik","2","ArmorOfBarnacles","false","false","false","3","3","3","1;2;4;5","fixture_present_requires_mechanic_review","needs_review","simulator/config/hero_definitions/Hendrik.json"
"hero","Hendrik","3","DragonsHeir","false","false","false","3","3","3","1;2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Hendrik.json"
"hero","Hendrik","4","AbyssalBlessing","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Hendrik.json"
"hero","Jasser","1","TacticalGenius","false","false","false","12","17","1;2;4","3;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Jasser.json"
"hero","Jasser","2","NonCombatPlaceholder","true","false","false","8","13","2;3;4","","noncombat_definition_review","unreviewed","simulator/config/hero_definitions/Jasser.json"
"hero","Jeronimo","1","BattleManifesto","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Jeronimo.json"
"hero","Jeronimo","2","Swordmentor","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Jeronimo.json"
"hero","Jeronimo","3","EXpertSwordsmanship","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Jeronimo.json"
"hero","Jeronimo","4","BattleStance","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Jeronimo.json"
"hero","Jessie","1","StandOfArms","false","false","false","17","22","1;2;4;5","3","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Jessie.json"
"hero","Jessie","2","Bulwarks","false","false","false","17","22","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Jessie.json"
"hero","Ling","1","FearsomeAura","false","false","false","2","2","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Ling.json"
"hero","Ling","2","NonCombatPlaceholder","true","false","false","2","2","1","","noncombat_definition_review","unreviewed","simulator/config/hero_definitions/Ling.json"
"hero","Logan","1","LionStrike","false","false","false","11","22","1;2;3","4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Logan.json"
"hero","Logan","2","LionIntimidation","false","false","false","10","21","1;2;3","4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Logan.json"
"hero","Logan","3","LeaderInspiration","false","false","false","8","10","3","1;2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Logan.json"
"hero","Logan","4","IronDen","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Logan.json"
"hero","Lumak","1","TacticalDeception","false","false","false","7","7","1;3;5","2;4","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Lumak.json"
"hero","Lumak","2","NonCombatPlaceholder","true","false","false","2","2","1;3","","noncombat_definition_review","unreviewed","simulator/config/hero_definitions/Lumak.json"
"hero","Lynn","1","SongOfLion","false","false","true","6","20","3","1;2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Lynn.json"
"hero","Lynn","2","MelancholicBallad","false","false","false","6","20","3","1;2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Lynn.json"
"hero","Lynn","3","OonaiCadenza","false","false","false","6","20","3","1;2;4;5","fixture_present_requires_mechanic_review","unresolved","simulator/config/hero_definitions/Lynn.json"
"hero","Lynn","4","SilentThreat","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Lynn.json"
"hero","Magnus","1","Rapacious","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Magnus.json"
"hero","Magnus","2","IronPhalanx","false","false","true","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Magnus.json"
"hero","Magnus","3","Iceman","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Magnus.json"
"hero","Magnus","4","ValoricInspiration","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Magnus.json"
"hero","Mia","1","BadLuckStreak","false","false","true","14","73","1;3","2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Mia.json"
"hero","Mia","2","LuckyCharm","false","false","true","11","65","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Mia.json"
"hero","Mia","3","RitualDeciphering","false","false","true","8","53","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Mia.json"
"hero","Mia","4","PrecisionDrive","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Mia.json"
"hero","Molly","1","CallingOfTheStorm","false","false","true","5","13","2;5","1;3;4","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Molly.json"
"hero","Molly","2","IceDominion","false","false","true","5","13","2;4","1;3;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Molly.json"
"hero","Molly","3","YouthfulRage","false","false","false","4","12","1;5","2;3;4","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Molly.json"
"hero","Molly","4","WinterFang","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Molly.json"
"hero","Natalia","1","WildlingRoar","false","false","true","2","2","2","1;3;4;5","fixture_present_requires_mechanic_review","unresolved","simulator/config/hero_definitions/Natalia.json"
"hero","Natalia","2","QueenOfTheWild","false","false","false","2","2","2","1;3;4;5","fixture_present_requires_mechanic_review","unresolved","simulator/config/hero_definitions/Natalia.json"
"hero","Natalia","3","CallOfTheWild","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Natalia.json"
"hero","Natalia","4","GaleForce","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Natalia.json"
"hero","Norah","1","CombinedArms","false","false","false","13","34","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Norah.json"
"hero","Norah","2","SneakStrike","false","false","true","13","34","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Norah.json"
"hero","Norah","3","Momentum","false","false","false","3","6","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Norah.json"
"hero","Norah","4","SteadfastGuard","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Norah.json"
"hero","Patrick","1","SuperNutrients","false","false","false","12","26","1;2;3;4","5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Patrick.json"
"hero","Patrick","2","CaloricBooster","false","false","false","11","25","1;2;4","3;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Patrick.json"
"hero","Philly","1","VigorTactics","false","false","false","8","25","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Philly.json"
"hero","Philly","2","DosageBoost","false","false","true","8","25","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Philly.json"
"hero","Philly","3","NumbingSpores","false","false","true","4","10","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Philly.json"
"hero","Philly","4","GuardianBloom","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Philly.json"
"hero","Reina","1","AssassinsInstinct","false","false","false","14","37","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Reina.json"
"hero","Reina","2","SwiftJive","false","false","true","12","35","1;2","3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Reina.json"
"hero","Reina","3","ShadowBlade","false","false","true","1","5","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Reina.json"
"hero","Reina","4","LancersEdge","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Reina.json"
"hero","Renee","1","NightmareTrace","false","false","false","9","22","1;3;4","2;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Renee.json"
"hero","Renee","2","Dreamcatcher","false","false","false","8","12","3;4","1;2;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Renee.json"
"hero","Renee","3","Dreamslice","false","false","false","8","12","3;4","1;2;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Renee.json"
"hero","Renee","4","DreamfangRally","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Renee.json"
"hero","Seo-yoon","1","RallyingBeat","false","false","false","5","7","1;3","2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Seo-yoon.json"
"hero","Seo-yoon","2","NonCombatPlaceholder","true","false","false","1","3","3","","noncombat_definition_review","unreviewed","simulator/config/hero_definitions/Seo-yoon.json"
"hero","Sergey","1","DefendersEdge","false","false","false","12","24","2;4;5","1;3","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Sergey.json"
"hero","Sergey","2","Weaken","false","false","false","12","24","2;4;5","1;3","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Sergey.json"
"hero","Sonya","1","TreasureHunter","false","false","false","1","1","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Sonya.json"
"hero","Sonya","2","BountyTemptation","false","false","false","1","1","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Sonya.json"
"hero","Sonya","3","TorrentialImpact","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Sonya.json"
"hero","Sonya","4","VortexTurret","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Sonya.json"
"hero","Wayne","1","ThunderStrike","false","false","false","13","41","1;2;3","4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Wayne.json"
"hero","Wayne","2","RoundaboutHit","false","false","false","12","40","1;2;3","4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Wayne.json"
"hero","Wayne","3","Fleet","false","false","true","10","38","2;3","1;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Wayne.json"
"hero","Wayne","4","TacticalEdge","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Wayne.json"
"hero","Wu Ming","1","ShadowsEvasion","false","false","false","9","16","1;2;3","4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/WuMing.json"
"hero","Wu Ming","2","CrescentUplift","false","false","false","9","16","1;2;3","4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/WuMing.json"
"hero","Wu Ming","3","ElementalResonance","false","false","false","7","7","3","1;2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/WuMing.json"
"hero","Wu Ming","4","IronBastion","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/WuMing.json"
"hero","Xura","1","FungalFog","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Xura.json"
"hero","Xura","2","PiercingArrow","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Xura.json"
"hero","Xura","3","Unorthodoxy","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Xura.json"
"hero","Xura","4","GaiacHymn","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Xura.json"
"hero","Zinman","1","Implacable","false","false","false","10","14","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Zinman.json"
"hero","Zinman","2","Bastionist","true","false","false","0","0","","","noncombat_definition_review","unreviewed","simulator/config/hero_definitions/Zinman.json"
"hero","Zinman","3","PositionalBattler","false","false","false","3","3","1","2;3;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Zinman.json"
"hero","Zinman","4","Woodpecker","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Zinman.json"
"troop","infantry","","MasterBrawler","false","false","false","275","594","1","","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","infantry","","BandsOfSteel","false","false","false","14","35","1","","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","infantry","","CrystalShield","false","false","true","24","36","2","1","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","infantry","","BodyOfLight","false","false","false","23","23","1;2","","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","lancer","","Charge","false","false","false","212","510","1","","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","lancer","","Ambusher","false","false","true","13","34","1","","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","lancer","","CrystalLance","false","false","true","6","6","2","1","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","lancer","","IncandescentField","false","false","true","6","6","2","1","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","marksman","","RangedStrike","false","false","false","225","517","1","","fixture_present_requires_mechanic_review","partially_supported","simulator/config/troop_skills.json"
"troop","marksman","","Volley","false","false","true","17","29","1","","fixture_present_requires_mechanic_review","unresolved","simulator/config/troop_skills.json"
"troop","marksman","","CrystalGunpowder","false","false","true","0","0","","1;2;3;4","no_active_fixture","unreviewed","simulator/config/troop_skills.json"
"troop","marksman","","FlameCharge","false","false","false","0","0","","1;2","no_active_fixture","unreviewed","simulator/config/troop_skills.json"
